,active,competitorType,market,marketAbbr,name,nameShort,primaryColor,shortCode,sportId,teamId,teamIdsByProvider
345,True,Team,Cleveland State,CLEV,Vikings,Vikings,,CLEV,6,690,"{'6': 'e30c0417-b220-424e-886e-dd1249e2ca5a', '15': '41672'}"
346,True,Team,Milwaukee,MILW,Panthers,Panthers,,MILW,6,681,"{'6': '5d77800f-1ae6-4b66-8e97-b0dbb8bbc717', '15': '41546'}"
347,True,Team,Green Bay,GB,Phoenix,Phoenix,,GB,6,682,"{'6': '61a3e5ab-1be3-4694-b83f-edae0953f409', '15': '41323'}"
348,True,Team,Wright State,WRST,Raiders,Raiders,,WRST,6,685,"{'6': '9c396fa7-c165-4599-8542-158bd0d9a199', '15': '45152'}"
349,True,Team,Northern Kentucky,NKU,Norse,Norse,,NKU,6,686,"{'6': 'ab9a1315-293f-42d3-a164-860216e81576', '15': '42535'}"
350,True,Team,Robert Morris,RMU,Colonials,Colonials,,RMU,6,683,"{'6': '6906e22d-92fa-40cb-8c05-ec8391ac1979', '15': '44588'}"
351,True,Team,IUPUI,IUPU,Jaguars,Jaguars,,IUPU,6,684,"{'6': '90ec10eb-38a4-4a69-b072-ef71d294933b', '15': '44053'}"
352,True,Team,Detroit Mercy,DET,Titans,Titans,,DET,6,679,"{'6': '1b78e7f6-f25c-4921-98e2-9bc565f8dfb4', '15': '42426'}"
353,True,Team,Norfolk State,NORF,Spartans,Spartans,,NORF,6,629,"{'6': 'a8f75c12-c4db-401f-99e3-b48209d85274', '15': '43965'}"
354,True,Team,North Carolina Central,NCCU,Eagles,Eagles,,NCCU,6,632,"{'6': 'e4c315a0-e83f-4d14-856e-34a0463059e3', '15': '41831'}"
355,True,Team,Howard,HOW,Bison,Bison,#043B62,HOW,6,624,"{'6': '22fbe5dc-c6db-4675-b3a3-2d8af7f5d313', '15': '44989'}"
356,True,Team,Delaware State,DSU,Hornets,Hornets,,DSU,6,633,"{'6': 'ffa04cde-aa2d-4e91-b2cd-bde2bfed44de', '15': '43853'}"
357,True,Team,South Carolina State,SCST,Bulldogs,Bulldogs,,SCST,6,628,"{'6': 'a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed', '15': '42206'}"
358,True,Team,Morgan State,MORG,Bears,Bears,,MORG,6,626,"{'6': '576b816b-5b9a-4768-a62b-f8435a8272c2', '15': '42361'}"
359,True,Team,Maryland-Eastern Shore,UMES,Hawks,Hawks,,UMES,6,631,"{'6': 'd20216d8-161c-46e3-b8d2-92208ddf5acf', '15': '43909'}"
360,True,Team,Coppin State,COPP,Eagles,Eagles,,COPP,6,627,"{'6': '5f9a90a2-3926-404e-8c8a-d9f22ad6907d', '15': '43628'}"
361,True,Team,Chicago State,CHS,Cougars,Cougars,,CHS,6,591,"{'6': '2f8c85a7-54f4-4942-be16-2cbac77c82d7', '15': '41363'}"
