,teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,active,primaryColor,competitorType
83,155,"{'6': 'edc91db3-9a77-4af6-aa9b-b8a67930ba51', '10': '1000042818', '15': '7962'}",5,SJS,San Jose State,SJS,Spartans,Spartans,True,#0D298C,Team
84,149,"{'6': '9f40a53c-d4bc-4d58-8208-2227634f9454', '10': '1000025114', '15': '8274'}",5,AF,Air Force,AF,Falcons,Falcons,True,#384990,Team
85,148,"{'6': 'a62b2dda-d22c-47bf-ad2c-60c66e64d8c7', '10': '1000061108', '15': '8353'}",5,WYO,Wyoming,WYO,Cowboys,Cowboys,True,#290D05,Team
86,153,"{'6': '558f07ed-85b3-447d-bdd2-9cd98ca3a547', '10': '1000068609', '15': '8301'}",5,FRE,Fresno State,FRE,Bulldogs,Bulldogs,True,#C71D3A,Team
87,146,"{'6': 'e7268e7f-a453-4f46-b005-689d1d4966d4', '10': '1000046343', '15': '7971'}",5,UTS,Utah State,UTS,Aggies,Aggies,True,#0E193E,Team
88,151,"{'6': '04f8c610-fe83-4b44-a3fc-02394869b81f', '10': '1000010630', '15': '8289'}",5,CSU,Colorado State,CSU,Rams,Rams,True,#212121,Team
89,156,"{'6': '97673f68-cb54-4025-abe6-c8ea0e2ec7d9', '10': '1000060175', '15': '8316'}",5,HAW,Hawai'i,HAW,Rainbow Warriors,Rainbow Warriors,True,#3F706A,Team
90,150,"{'6': '02cd61b6-2dad-4b3d-94cd-1c1c3cdbf3ad', '10': '1000071351', '15': '8327'}",5,NM,New Mexico,NM,Lobos,Lobos,True,#D5242A,Team
91,152,"{'6': '54585fd0-90d0-46bd-a018-d033fb2ee767', '10': '1000025280', '15': '8332'}",5,SDSU,San Diego State,SDSU,Aztecs,Aztecs,True,#C33138,Team
92,157,"{'6': '0c8fc8f1-0659-49dd-8668-436c3812089e', '10': '1000020834', '15': '7925'}",5,NEV,Nevada,NEV,Wolf Pack,Wolf Pack,True,#0D294B,Team
