teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,fullname,primaryColor,sportid2,eventgroupid,generalSportName,sportname,teamwebsite,otherwebsite,Column1
594,"{'6': '7e100f63-0b32-49f6-a954-f5b7c8cf48ad', '15': '44693'}",6,SEA,Seattle,SEA,Redhawks,Redhawks,Seattle Redhawks,,6,92483,Basketball,CBB,None,None,"{""teamId"":""594"", ""teamIdsByProvider"":""{'6': '7e100f63-0b32-49f6-a954-f5b7c8cf48ad', '15': '44693'}"", ""sportId"":""6"", ""shortCode"":""SEA"", ""market"":""Seattle"", ""marketAbbr"":""SEA"", ""name"":""Redhawks"", ""nameShort"":""Redhawks"", ""fullname"":""Seattle Redhawks"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
521,"{'6': '7c2b372b-b5f0-466e-90cf-880beec57584', '15': '43453'}",6,UTA,Texas-Arlington,UTA,Mavericks,Mavericks,Texas-Arlington Mavericks,,6,92483,Basketball,CBB,None,None,"{""teamId"":""521"", ""teamIdsByProvider"":""{'6': '7c2b372b-b5f0-466e-90cf-880beec57584', '15': '43453'}"", ""sportId"":""6"", ""shortCode"":""UTA"", ""market"":""Texas-Arlington"", ""marketAbbr"":""UTA"", ""name"":""Mavericks"", ""nameShort"":""Mavericks"", ""fullname"":""Texas-Arlington Mavericks"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
601,"{'6': '5ef64f01-86ae-4553-9834-c79cc0859eaf', '15': '42785'}",6,SFA,Stephen F. Austin,SFA,Lumberjacks,Lumberjacks,Stephen F. Austin Lumberjacks,,6,92483,Basketball,CBB,None,None,"{""teamId"":""601"", ""teamIdsByProvider"":""{'6': '5ef64f01-86ae-4553-9834-c79cc0859eaf', '15': '42785'}"", ""sportId"":""6"", ""shortCode"":""SFA"", ""market"":""Stephen F. Austin"", ""marketAbbr"":""SFA"", ""name"":""Lumberjacks"", ""nameShort"":""Lumberjacks"", ""fullname"":""Stephen F. Austin Lumberjacks"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
592,"{'6': '4200f37c-86e0-413e-a5c4-e5edf1e272e7', '15': '44362'}",6,UVU,Utah Valley,UVU,Wolverines,Wolverines,Utah Valley Wolverines,,6,92483,Basketball,CBB,None,None,"{""teamId"":""592"", ""teamIdsByProvider"":""{'6': '4200f37c-86e0-413e-a5c4-e5edf1e272e7', '15': '44362'}"", ""sportId"":""6"", ""shortCode"":""UVU"", ""market"":""Utah Valley"", ""marketAbbr"":""UVU"", ""name"":""Wolverines"", ""nameShort"":""Wolverines"", ""fullname"":""Utah Valley Wolverines"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
597,"{'6': 'a43197e1-de68-41cf-bd75-88c695738601', '15': '42783'}",6,CBU,California Baptist,CBU,Lancers,Lancers,California Baptist Lancers,,6,92483,Basketball,CBB,None,None,"{""teamId"":""597"", ""teamIdsByProvider"":""{'6': 'a43197e1-de68-41cf-bd75-88c695738601', '15': '42783'}"", ""sportId"":""6"", ""shortCode"":""CBU"", ""market"":""California Baptist"", ""marketAbbr"":""CBU"", ""name"":""Lancers"", ""nameShort"":""Lancers"", ""fullname"":""California Baptist Lancers"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
606,"{'6': 'a52b2ece-1f87-45b5-ae1e-8d0920479965', '15': '41474'}",6,AC,Abilene Christian,AC,Wildcats,Wildcats,Abilene Christian Wildcats,,6,92483,Basketball,CBB,None,None,"{""teamId"":""606"", ""teamIdsByProvider"":""{'6': 'a52b2ece-1f87-45b5-ae1e-8d0920479965', '15': '41474'}"", ""sportId"":""6"", ""shortCode"":""AC"", ""market"":""Abilene Christian"", ""marketAbbr"":""AC"", ""name"":""Wildcats"", ""nameShort"":""Wildcats"", ""fullname"":""Abilene Christian Wildcats"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
598,"{'6': 'ddfc1dde-4475-4707-921c-f70804422573', '15': '47345'}",6,UTU,Utah Tech,UTU,Trailblazers,Trailblazers,Utah Tech Trailblazers,,6,92483,Basketball,CBB,None,None,"{""teamId"":""598"", ""teamIdsByProvider"":""{'6': 'ddfc1dde-4475-4707-921c-f70804422573', '15': '47345'}"", ""sportId"":""6"", ""shortCode"":""UTU"", ""market"":""Utah Tech"", ""marketAbbr"":""UTU"", ""name"":""Trailblazers"", ""nameShort"":""Trailblazers"", ""fullname"":""Utah Tech Trailblazers"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
533,"{'6': 'c7116621-45ed-4ab1-9ad9-dee524120569', '15': '44016'}",6,SUU,Southern Utah,SUU,Thunderbirds,Thunderbirds,Southern Utah Thunderbirds,,6,92483,Basketball,CBB,None,None,"{""teamId"":""533"", ""teamIdsByProvider"":""{'6': 'c7116621-45ed-4ab1-9ad9-dee524120569', '15': '44016'}"", ""sportId"":""6"", ""shortCode"":""SUU"", ""market"":""Southern Utah"", ""marketAbbr"":""SUU"", ""name"":""Thunderbirds"", ""nameShort"":""Thunderbirds"", ""fullname"":""Southern Utah Thunderbirds"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
596,"{'6': '92456e1e-f48c-4385-96ab-14cb27d18726', '15': '43533'}",6,UTRGV,Texas Rio Grande Valley,UTRGV,Vaqueros,Vaqueros,Texas Rio Grande Valley Vaqueros,,6,92483,Basketball,CBB,None,None,"{""teamId"":""596"", ""teamIdsByProvider"":""{'6': '92456e1e-f48c-4385-96ab-14cb27d18726', '15': '43533'}"", ""sportId"":""6"", ""shortCode"":""UTRGV"", ""market"":""Texas Rio Grande Valley"", ""marketAbbr"":""UTRGV"", ""name"":""Vaqueros"", ""nameShort"":""Vaqueros"", ""fullname"":""Texas Rio Grande Valley Vaqueros"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
758,"{'6': 'a93bf4f2-3724-4539-8c8a-9ac8ee3741a6', '15': '41810'}",6,CCSU,Central Connecticut State,CCSU,Blue Devils,Blue Devils,Central Connecticut State Blue Devils,#1A221A,6,92483,Basketball,CBB,None,None,"{""teamId"":""758"", ""teamIdsByProvider"":""{'6': 'a93bf4f2-3724-4539-8c8a-9ac8ee3741a6', '15': '41810'}"", ""sportId"":""6"", ""shortCode"":""CCSU"", ""market"":""Central Connecticut State"", ""marketAbbr"":""CCSU"", ""name"":""Blue Devils"", ""nameShort"":""Blue Devils"", ""fullname"":""Central Connecticut State Blue Devils"", ""primaryColor"":""#1A221A"", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
752,"{'6': '16de38c6-062f-48b1-848f-9c4a8ce7cfa8', '15': '44065'}",6,MRMK,Merrimack,MRMK,Warriors,Warriors,Merrimack Warriors,,6,92483,Basketball,CBB,None,None,"{""teamId"":""752"", ""teamIdsByProvider"":""{'6': '16de38c6-062f-48b1-848f-9c4a8ce7cfa8', '15': '44065'}"", ""sportId"":""6"", ""shortCode"":""MRMK"", ""market"":""Merrimack"", ""marketAbbr"":""MRMK"", ""name"":""Warriors"", ""nameShort"":""Warriors"", ""fullname"":""Merrimack Warriors"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
754,"{'6': '3b644902-cd06-4930-9a3e-6c78cfb1f464', '15': '41384'}",6,WAG,Wagner,WAG,Seahawks,Seahawks,Wagner Seahawks,#144D3E,6,92483,Basketball,CBB,None,None,"{""teamId"":""754"", ""teamIdsByProvider"":""{'6': '3b644902-cd06-4930-9a3e-6c78cfb1f464', '15': '41384'}"", ""sportId"":""6"", ""shortCode"":""WAG"", ""market"":""Wagner"", ""marketAbbr"":""WAG"", ""name"":""Seahawks"", ""nameShort"":""Seahawks"", ""fullname"":""Wagner Seahawks"", ""primaryColor"":""#144D3E"", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
753,"{'6': '3556d445-b3f1-467e-b150-952b32dfb150', '15': '42567'}",6,SHU,Sacred Heart,SHU,Pioneers,Pioneers,Sacred Heart Pioneers,,6,92483,Basketball,CBB,None,None,"{""teamId"":""753"", ""teamIdsByProvider"":""{'6': '3556d445-b3f1-467e-b150-952b32dfb150', '15': '42567'}"", ""sportId"":""6"", ""shortCode"":""SHU"", ""market"":""Sacred Heart"", ""marketAbbr"":""SHU"", ""name"":""Pioneers"", ""nameShort"":""Pioneers"", ""fullname"":""Sacred Heart Pioneers"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
760,"{'6': 'b71d5a1b-2671-4e5a-b94b-06bfb22a27dd', '15': '42056'}",6,FDU,FDU,FDU,Knights,Knights,FDU Knights,,6,92483,Basketball,CBB,None,None,"{""teamId"":""760"", ""teamIdsByProvider"":""{'6': 'b71d5a1b-2671-4e5a-b94b-06bfb22a27dd', '15': '42056'}"", ""sportId"":""6"", ""shortCode"":""FDU"", ""market"":""FDU"", ""marketAbbr"":""FDU"", ""name"":""Knights"", ""nameShort"":""Knights"", ""fullname"":""FDU Knights"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
1221,"{'6': 'a7086972-971c-4333-9944-5120c6ed6c42', '15': '42743'}",6,LMC,Le Moyne,LMC,Dolphins,Dolphins,Le Moyne Dolphins,,6,92483,Basketball,CBB,None,None,"{""teamId"":""1221"", ""teamIdsByProvider"":""{'6': 'a7086972-971c-4333-9944-5120c6ed6c42', '15': '42743'}"", ""sportId"":""6"", ""shortCode"":""LMC"", ""market"":""Le Moyne"", ""marketAbbr"":""LMC"", ""name"":""Dolphins"", ""nameShort"":""Dolphins"", ""fullname"":""Le Moyne Dolphins"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
757,"{'6': '6637ac5f-59c2-4888-af34-a86d138ccfb3', '15': '41332'}",6,SFPA,St. Francis (PA),SFPA,Red Flash,Red Flash,St. Francis (PA) Red Flash,,6,92483,Basketball,CBB,None,None,"{""teamId"":""757"", ""teamIdsByProvider"":""{'6': '6637ac5f-59c2-4888-af34-a86d138ccfb3', '15': '41332'}"", ""sportId"":""6"", ""shortCode"":""SFPA"", ""market"":""St. Francis (PA)"", ""marketAbbr"":""SFPA"", ""name"":""Red Flash"", ""nameShort"":""Red Flash"", ""fullname"":""St. Francis (PA) Red Flash"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
